Variant,StockFrac,InitStock_bowls,TimeToFirstSoup_s,TimeToFirstOut_s,TimeToNominal_s,SteadyThroughput_bph,Compliant
HyperCook,0,0,39,140,853,308.204622475988,1
HyperCook,0.5,750,17,119,817,308.369574436005,1
HyperCook,1,1500,17,119,817,308.369574436005,1
HyperCook,2,3000,17,119,817,308.369574436005,1
LeanBroth,0,0,3455,3474.81688003152,3789,196.070269102623,1
LeanBroth,0.5,300,3421,3440.81688003152,3757,196.847674091333,1
LeanBroth,1,600,3421,3440.81688003152,3757,196.847674091333,1
LeanBroth,2,1200,3421,3440.81688003152,3757,196.847674091333,1
EverSimmer,0,0,3404,3450,3772,231.899052789433,1
EverSimmer,0.5,450,3390,3436,3758,231.899158858851,1
EverSimmer,1,900,3390,3436,3758,231.899158858851,1
EverSimmer,2,1800,3390,3436,3758,231.899158858851,1
